breadcrumbs_string,product_url,category,product_name,price,image_url,avaiable_sizes,coordinated_product,coordinated_price,coordinated_product_number,coordinated_product_imageurl,coordinated_product_pageurl,title_of_description,general_description,general_description_itemized,tale_of_size,rating,no. of rating,reviewer_data,keywords
トップ/ ユニセックス/ ウェア・服/ アウター/ ジャケット/ オリジナルス/ ベッケンバウアー/ トラックジャケット（ジェンダーニュートラル）,https://shop.adidas.jp/product/IK9149,オリジナルス,トラックジャケット（ジェンダーニュートラル）,"13,200",https://shop.adidas.jp//photo/IK/IK9149/s-IK9149-on_model-standard_unisex_pair_shot-QKrTu9VVyh.jpg,"3XS, 2XS, XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル素材を一部使用した、アーカイブ風トラックジャケット。,60年代に登場したベッケンバウアートラックスーツは長年にわたり愛され続け、そのタイムレスなルックスは今もなお進化を続けている。本モデルは70年代のアーカイブモデルをデザインソースに、日本で開発されたエクスクルーシブモデル。控えめなロゴを胸位置より低く配置し、現代のスタイルに合わせたビッグシルエットを採用しており、クラシックなトラックスーツに仕上げている。第三弾となる本モデルのメインビジュアルには、次世代を担う4人組のインディロックバンド「DYGL」を起用。DYGLのレコーディングスタジオで撮り下ろした、トラックスーツを自然体で着こなすスタイリングにも注目。,"オーバーサイズダブルフルジップの前開き / スタンドカラーポリエステル100％（トリコット）両サイドにジップポケットリブ仕上げの袖口と裾*着用画像に関して：画像の光の加減により、実際の商品の色と若干異なる場合がございます。ご了承ください。商品番号：IK9149色：ナイトインディゴ生産国：Cambodia,China",,,,,"ウェア・服, アウター, ジャケット, ジャージ, オリジナルス, ベッケンバウアー, リサイクル素材一部使用, HBN85"
トップ/ ユニセックス/ ウェア・服/ アウター/ ジャケット/ オリジナルス/ ベッケンバウアー/ トラックジャケット（ジェンダーニュートラル）,https://shop.adidas.jp/product/IZ4923,オリジナルス,トラックジャケット（ジェンダーニュートラル）,"13,200",https://shop.adidas.jp//photo/IZ/IZ4923/s-IZ4923-on_model-standard_unisex_pair_shot-XTzqEEvrag.jpg,"3XS, 2XS, XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル素材を一部使用した、アーカイブ風トラックジャケット。,60年代に登場したベッケンバウアートラックスーツは長年にわたり愛され続け、そのタイムレスなルックスは今もなお進化を続けている。本モデルは70年代のアーカイブモデルをデザインソースに、日本で開発されたエクスクルーシブモデル。控えめなロゴを胸位置より低く配置し、現代のスタイルに合わせたビッグシルエットを採用しており、クラシックなトラックスーツに仕上げている。第三弾となる本モデルのメインビジュアルには、次世代を担う4人組のインディロックバンド「DYGL」を起用。DYGLのレコーディングスタジオで撮り下ろした、トラックスーツを自然体で着こなすスタイリングにも注目。,レギュラーフィットダブルフルジップの前開き / スタンドカラーポリエステル100％（トリコット）両サイドにジップポケットリブ仕上げの袖口と裾*着用画像に関して：画像の光の加減により、実際の商品の色と若干異なる場合がございます。ご了承ください。商品番号：IZ4923色：ブラック/エナジーインク生産国：Cambodia,,,,,"ウェア・服, アウター, ジャケット, ジャージ, オリジナルス, ベッケンバウアー, リサイクル素材一部使用, HBN85"
トップ/ ユニセックス/ ウェア・服/ アウター/ ジャケット/ オリジナルス/ ベッケンバウアー/ トラックジャケット（ジェンダーニュートラル）,https://shop.adidas.jp/product/IZ4924,オリジナルス,トラックジャケット（ジェンダーニュートラル）,"13,200",https://shop.adidas.jp//photo/IZ/IZ4924/s-IZ4924-on_model-standard_unisex_pair_shot-E0ZiqdfZs1.jpg,"3XS, 2XS, XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル素材を一部使用した、アーカイブ風トラックジャケット。,60年代に登場したベッケンバウアートラックスーツは長年にわたり愛され続け、そのタイムレスなルックスは今もなお進化を続けている。本モデルは70年代のアーカイブモデルをデザインソースに、日本で開発されたエクスクルーシブモデル。控えめなロゴを胸位置より低く配置し、現代のスタイルに合わせたビッグシルエットを採用しており、クラシックなトラックスーツに仕上げている。第三弾となる本モデルのメインビジュアルには、次世代を担う4人組のインディロックバンド「DYGL」を起用。DYGLのレコーディングスタジオで撮り下ろした、トラックスーツを自然体で着こなすスタイリングにも注目。,レギュラーフィットダブルフルジップの前開き / スタンドカラーポリエステル100％（トリコット）両サイドにジップポケットリブ仕上げの袖口と裾*着用画像に関して：画像の光の加減により、実際の商品の色と若干異なる場合がございます。ご了承ください。商品番号：IZ4924色：グリーン/ナイトインディゴ生産国：Cambodia,,,,,"ウェア・服, アウター, ジャケット, ジャージ, オリジナルス, ベッケンバウアー, リサイクル素材一部使用, HBN85"
トップ/ メンズ/ ウェア・服/ トップス/ パーカー(フーディー)/ スポーツウェア/ Z.N.E./ Z.N.E. ウィンタライズド フルジップ フード付きトラックジャケット,https://shop.adidas.jp/product/IR5240,スポーツウェア,Z.N.E. ウィンタライズド フルジップ フード付きトラックジャケット,"15,400",https://shop.adidas.jp//photo/IR/IR5240/s-IR5240-31-PZvkHdvXnj.jpg,"XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル&再生可能素材のブレンド生地を一部使用した、フルジップパーカー。,冷たい北風には、このアディダスの冬仕様のフルジップ トラックジャケットを着てスタイリッシュに立ち向かおう。動きやすい伸縮性に優れた起毛素材が、寒さをシャットアウトする、モダンなデザイン。負のエネルギーをゼロにして、アドベンチャーの扉を開こう。 リサイクル素材を選択することで、既に製造された製品の素材を再利用することができ、それがゴミの削減につながる。また、再生可能素材を選択することでも、限りある資源への依存を減らすことができる。このアディダス製品は、リサイクル素材や再生可能素材をブレンドしたものを70%以上使用している。,"ルーズフィットフルジップ仕様 / フード付きポリエステル92% / ポリウレタン8%（ダブルニット）起毛ファブリックAEROREADYフロントポケットバンド仕様の袖口と裾背面センターに""Z.N.E.""のグラフィックリサイクル・再生可能素材を70%以上使用商品番号：IR5240色：レジェンドアイビー",,,,,"ウェア・服, トップス, パーカー(フーディー), ジャージ, スポーツウェア, Z.N.E., リオネル・メッシ, KOS34"
トップ/ メンズ/ ウェア・服/ トップス/ ジャージ/ オリジナルス/ アディカラー/ アディカラー クラシック/ アディカラー クラシックス SSTトラックジャケット（ジャージ）,https://shop.adidas.jp/product/IM4545,オリジナルス,アディカラー クラシックス SSTトラックジャケット（ジャージ）,"13,200",https://shop.adidas.jp//photo/IM/IM4545/s-IM4545-on_model-standard_view-623yv5eMd3.jpg,"XS, S, M, L, XL, 2XL, 3XL, 4XL, 5XL, 6XL",,,,,,リサイクル&再生可能素材を使用した、クラシックなトラックジャケット。,誰だっていいトラックジャケットを探しているはず。これがキミの一着。ソフトなインターロック生地を採用したこのアディダスのマストハブアイテムは、インスピレーション源とするアーカイブデザインを忠実に再現。トレフォイルロゴの刺しゅうとスリーストライプスがクラシックなスタイルを讃えている。リブ編みの裾と袖口で、必要な箇所にしっかりしたフィット感を持たせている。さらに、フロントはフルジップ仕様だから、重ね着すれば身体を暖かく保て、ジップを開ければ中に着ているお気に入りのTシャツを見せられる。 リサイクル素材と再生可能素材をブレンドした生地を70%以上使用した製品。,スリムフィットフルジップ / リブ仕上げのスタンドカラーポリエステル70% / 綿30%（インターロック）両サイドにジップポケットリブ仕上げの裾と袖口商品番号：IM4545色：ブラック/ホワイト生産国：Pakistan,,,,,"ウェア・服, トップス, ジャージ, オリジナルス, アディカラー, クラシックス, MINI ME（ミニミー）, アディカラー クラシック, リサイクル素材と再生可能素材, EEP89"
トップ/ メンズ/ ウェア・服/ トップス/ パーカー(フーディー)/ スポーツウェア/ Z.N.E./ Z.N.E. プレミアム フルジップ フード付きトラックジャケット,https://shop.adidas.jp/product/IN5089,スポーツウェア,Z.N.E. プレミアム フルジップ フード付きトラックジャケット,"15,400",https://shop.adidas.jp//photo/IN/IN5089/s-IN5089-on_model-standard_view-XzRuJzFmQq.jpg,"XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル&再生可能素材を使用した、プレミアムなトラックジャケット。,忙しさの合間に必要不可欠なのが、休息の時間。力を抜いて、メンタル面でもバランスを取り戻すことが大切。このフルジップパーカーは、そこに到達するのを後押ししてくれる。この上ない快適な着心地をもたらす4方向に伸縮する上質な素材と、爽やかな感触を保つ汗を吸収するAEROREADYテクノロジーを採用している。背中のZ.N.E.のグラフィックがアクセント。ヘッドホンをつけてフードを被り、自分の心を見つめる時間を作ろう。リサイクル素材と再生可能素材をブレンドした生地を70%以上使用したウェア。,"ルーズフィットフルジップ綿56％ / ポリエステル40％ / ポリウレタン4％（ダブルニット）4方向に伸縮するソフトな生地AEROREADYフロントにジップポケットリブ仕上げの袖口と裾背面センターに""Z.N.E.""のグラフィック商品番号：IN5089色：ブラック生産国：Cambodia,Indonesia",,,,,"ウェア・服, トップス, パーカー(フーディー), ジャージ, スポーツウェア, Z.N.E., MINI ME（ミニミー）, リオネル・メッシ, エアロレディ, リサイクル素材と再生可能素材, IKU93"
トップ/ メンズ/ ウェア・服/ アウター/ ウインドブレーカー/ オリジナルス/ Reclaim ユーティリティ トラックジャケット,https://shop.adidas.jp/product/HK2752,オリジナルス,Reclaim ユーティリティ トラックジャケット,"14,300",https://shop.adidas.jp//photo/HK/HK2752/s-HK2752-on_model-standard_view-K1kU5glfOD.jpg,"XS, S, M, L, XL, 2XL",,,,,,リサイクル素材を一部使用した、カスタマイズ可能なトラックジャケット。,予定は変わるもの。このアディダス トラックジャケットを着て、柔軟に対応しよう。これは、ミニマルなスタイルだから、ジムに行くときにはくスウェットパンツや、その後のディナーに向かうときに履くパンツとも好相性。気分を変えたいときは、ジップで取り外せるリバーシブルパネルで遊んで、異なる色のコンビネーションを楽しんでもいい。バージン素材の生産による環境への悪影響を防ぐため、裁断スクラップなどの生産廃棄物や、家庭から出る消費財廃棄物から生まれたリサイクル素材を一部使用。,レギュラーフィットフルジップ / スタンドカラーポリエステル100%（プレーンウィーブ）とびきり軽い生地を使用ジップ式フロントポケットジップで取り外せるリバーシブルパネル伸縮性のある袖口と裾商品番号：HK2752色：ブラック生産国：Vietnam,,,,,"ウェア・服, アウター, ウインドブレーカー, オリジナルス, リサイクル素材, VL004"
トップ/ ユニセックス/ サッカー/ ウェア・服/ アウター/ ジャケット/ 代表/ ドイツ代表 1996 ウーブン トラックジャケット,https://shop.adidas.jp/product/IT7752,サッカー,ドイツ代表 1996 ウーブン トラックジャケット,"14,300",https://shop.adidas.jp//photo/IT/IT7752/s-IT7752-marketing-heromrktng_view_1-mQuPMS7ScZ.jpg,"XS, M, XL, 2XL",,,,,,栄光の時代を彷彿とさせる、リサイクル素材で作られたドイツジャケット。,ドイツサッカーの栄光の記憶が鮮やかに蘇る。いつものスタイルをぐっと引き上げる、90年代の象徴的なデザインを復刻したトラックジャケット。 このジャケットに袖を通して、自分らしいスタイルで、サポーターとして熱心に試合を応援しよう。黒と赤、黄のドイツカラーの目を引くスリーストライプスと、ファンにとって大切なドイツ代表の刺しゅうエンブレムがアクセントの、時代を超えて愛されるデザイン。シルエットは、ゆとりのあるルーズフィット。貴重品の収納に便利なジップポケットと、冷気を遮断し、かつスタイリッシュなスタンドカラーを備えている。 リサイクル素材を選択することで、既に製造された製品の素材を再利用することができ、それがゴミの削減と、限りある資源への依存の軽減につながる。,ルーズフィットフルジップ / スタンドカラーポリエステル100%（プレーンウィーブ）フロントにジップポケット伸縮性のある袖口と裾ドイツ代表の刺しゅうエンブレム商品番号：IT7752色：ホワイト/ブラック,,,,,"ウェア・服, アウター, ジャケット, ジャージ, サッカー, フットサル, 代表, ドイツ代表, リサイクル素材一部使用, サッカーウェア・服, フットサルウェア・服, KMD49"
トップ/ キッズ／子供用/ ウェア・服/ トップス/ ジャージ/ オリジナルス/ SST/ アディカラー SST/ アディカラー SST トラックジャケット（ジャージ）,https://shop.adidas.jp/product/GN8451,オリジナルス,アディカラー SST トラックジャケット（ジャージ）,"6,589",https://shop.adidas.jp//photo/GN/GN8451/s-GN8451-3d_torso-front_center_view.jpg,"130, 140, 150, 160, 170",,,,,,コントラストのディテールをあしらったSSTトラックジャケット。,過去を熱烈にリスペクトするキミも、未来に焦点を当てているはず。過去と未来両方の要素を備えた、ジュニア用トラックジャケット。アイコニックな3ストライプとパイピングを合わせた、オーセンティックなアディダススタイル。特徴的な光沢のあるトリコット素材でオリジナルの雰囲気に仕上げている。 Parley Ocean Plasticを一部採用した高機能リサイクル素材、PRIMEBLUEで作られたアイテム。,レギュラーフィットフルジップ / リブ仕上げの襟リサイクルポリエステル100％（トリコット）前にジップポケットラグランスリーブリブ仕上げの袖口と裾コントラストカラーのパイピングPRIMEBLUE商品番号：GN8451色：ブラック/ホワイト生産国：Pakistan,,,,,"ウェア・服, トップス, ジャージ, オリジナルス, SST, アディカラー, パーレイ, MINI ME（ミニミー）, アディカラー SST, PARLEY OCEAN PLASTIC一部使用, 88786"
トップ/ メンズ/ ウェア・服/ トップス/ パーカー(フーディー)/ スポーツウェア/ Z.N.E./ Z.N.E. ウィンタライズド フルジップ フード付きトラックジャケット,https://shop.adidas.jp/product/IS9280,スポーツウェア,Z.N.E. ウィンタライズド フルジップ フード付きトラックジャケット,"15,400",https://shop.adidas.jp//photo/IS/IS9280/s-IS9280-on_model-standard_view-otC3gut6ap.jpg,"XS, S, M, L, XL, 2XL, 3XL",,,,,,リサイクル&再生可能素材のブレンド生地を一部使用した、フルジップパーカー。,冷たい北風には、このアディダスの冬仕様のフルジップ トラックジャケットを着てスタイリッシュに立ち向かおう。動きやすい伸縮性に優れた起毛素材が、寒さをシャットアウトする、モダンなデザイン。負のエネルギーをゼロにして、アドベンチャーの扉を開こう。 リサイクル素材を選択することで、既に製造された製品の素材を再利用することができ、それがゴミの削減につながる。また、再生可能素材を選択することでも、限りある資源への依存を減らすことができる。このアディダス製品は、リサイクル素材や再生可能素材をブレンドしたものを70%以上使用している。,"ルーズフィットフルジップ仕様 / フード付きポリエステル92% / ポリウレタン8%（ダブルニット）起毛ファブリックAEROREADYフロントポケットバンド仕様の袖口と裾背面センターに""Z.N.E.""のグラフィックリサイクル・再生可能素材を70%以上使用商品番号：IS9280色：ブランチカーゴ",,,,,"ウェア・服, トップス, パーカー(フーディー), ジャージ, スポーツウェア, Z.N.E., リオネル・メッシ, KOS34"
